09D	(Aisin/TR-60SN)
0AW	(VW/Audi/0AW)
0BK	(VW/Audi/8HP55A)
0C8	(Aisin/TR-80SD)
725_0	(Mercedes-Benz/9G-TRONIC)
AKPP_01L01V5hp19	(VW/Audi/01L)
AKPP_01M	(VW/Audi/01M)
AKPP_01N	(VW/Audi/01N)
AKPP_09AJF506	(Jatco/09A)
AKPP_09E	(VW/Audi/09E)
AKPP_09G_K_M	(VW/Audi/09G)
AKPP_09L	(VW/Audi/09L)
AKPP_0CM	(VW/Audi/0CM)
AKPP_310201XE1A	(Jatco/JF010E)
AKPP_42RLE	(Chrysler/42RLE)
AKPP_45RFE_5_45RFE278	(Chrysler/45RFE)
AKPP_4AT_M4TA_S4TAMRVABMXA	(Jatco/4AT-M4TA)
AKPP_4EAT_GGF4A_ELG4A_EL	(Hyundai/Mitsubishi/4EAT-G)
AKPP_4EATEC8_R4AX_EL	(Hyundai/Mitsubishi/4EAT)
AKPP_4F27EFN4A_EL	(Jatco/4F27E)
AKPP_4HP16	(ZF/4HP16)
AKPP_4HP18	(ZF/4HP18)
AKPP_4HP20	(ZF/4HP20)
AKPP_4HP224HP244HP24A4HP24FLA	(ZF/4HP22)
AKPP_4T60E_4T65E440_T4	(GM/4T60E)
AKPP_5EAT	(Jatco/5EAT)
AKPP_5HP18	(ZF/5HP18)
AKPP_5HP30	(ZF/5HP30)
AKPP_5L40E_5L50E	(GM/5L40E)
AKPP_5R55S5R55N5R55W	(Ford/Mazda/5R55S)
AKPP_62TE	(Chrysler/62TE)
AKPP_68RFE	(Chrysler/68RFE)
AKPP_6F24	(Ford/Mazda/6F24)
AKPP_6F306F35GM6T406T45	(GM/6F30)
AKPP_6F35_Gen_I_II	(Ford/Mazda/6F35)
AKPP_6F506F55GM6T70_6T75E	(GM/6F50)
AKPP_6T30_6T40_6T45_6T50	(GM/6T40)
AKPP_722.3722.4722.5	(Mercedes-Benz/722.3)
AKPP_722.5	(Mercedes-Benz/722.5)
AKPP_722.6	(Mercedes-Benz/722.6)
AKPP_722.7	(Mercedes-Benz/722.7)
AKPP_722.9	(Mercedes-Benz/722.9)
AKPP_7G_DCT724.0	(Getrag/724.0)
AKPP_8DCTMDSAM4JA	(Getrag/8DCT)
AKPP_8HP45_BMW	(ZF/8HP45)
AKPP_8HP558HP658HP908HP95	(ZF/8HP55)
AKPP_9HP48	(ZF/9HP48)
AKPP_A140A140EA240A241EA242EA242LA245EA246EA247E	(Toyota/Aisin/A140)
AKPP_A174TW_40E	(Aisin Warner/A174)
AKPP_A340EFAW40A341EA343F_EAW30_43AW30_70LE	(Toyota/Aisin/A340E)
AKPP_A40_A46DEA42DA43DA44DA46D	(Toyota/Aisin/A40-A46DE)
AKPP_A4AF3	(Hyundai/Mitsubishi/A4AF3)
AKPP_A4AF3A4BF3KM178	(Hyundai/Mitsubishi/A4AF3)
AKPP_A4CF2A4CF1	(Hyundai/Mitsubishi/A4CF2)
AKPP_A4LD_E4R44E4R55E5R44E5R55EC3	(Ford/Mazda/A4LD-E)
AKPP_A50042RH42RE44RE	(Chrysler/A500)
AKPP_A51846RH46RE_A61847RE48RE	(Chrysler/A518)
AKPP_A5GF1	(Hyundai/Mitsubishi/F4A51)
AKPP_A60440TE_41TE	(Chrysler/A604)
AKPP_A60642LE	(Chrysler/A606)
AKPP_A650E35_50_51LS	(Toyota/Aisin/A650E)
AKPP_A6LF1_A6GF1_A6MF1_A6MF2_A6MF3	(Hyundai/Mitsubishi/A6LF1)
AKPP_A750FA750ETB_50	(Toyota/Aisin/A750F)
AKPP_A760E_A761EA760H_A761HTB_60	(Toyota/Aisin/A760E-A761E)
AKPP_A860E	(Toyota/Aisin/A860E)
AKPP_A8LR1A8TR1	(Hyundai/Mitsubishi/A8LR1)
AKPP_A960ETB_65	(Toyota/Aisin/A960E)
AKPP_AA80E_TL_80SN	(Aisin Warner/AA80E)
AKPP_AB60E_F_AS68RC_AC60	(Toyota/Aisin/AB60Е)
AKPP_AD4AD8	(Peugeot/Citroen/Renault/AD4)
AKPP_Aisin_AF40-6_TF-80SC_AF21_TF-81SC	(Aisin Warner/TF-80SC-81SC)
AKPP_Aisin_K110-114_K410	(Toyota/Aisin/K110)
AKPP_Aisin_K310-312	(Toyota/Aisin/K310)
AKPP_AL420	(VW/Audi/09L)
AKPP_AMN8	(Peugeot/Citroen/AMN8)
AKPP_AODAOD_E4R70W4R75W4R70E4R75E	(Ford/Mazda/AOD)
AKPP_AW_TF60SN_09G	(Aisin Warner/0С8)
AKPP_AW_TR60SN_09D	(Aisin Warner/0С8)
AKPP_AW50_40LEAW50_40LSAW50_42LEAF14_AF20_AF22	(Aisin Warner/AW50-40LE)
AKPP_AW55_50SNAW55_51SNAF33RE5F22A	(Aisin Warner/AW55-50SN)
AKPP_AW60_40LEAF13AW60_42LEAF13AW60_41SNAF17	(Aisin Warner/AW60-40LE)
AKPP_AX4N4F50N	(Ford/Mazda/AX4N)
AKPP_AXOD_AXOD_E_AX4S	(Ford/Mazda/AXOD)
AKPP_BGHA_MGHA	(Honda/BGHA)
AKPP_BTRDSI_6M11	(SsangYong/DSI-6)
AKPP_BTRDSI_6M78BTR4_M74	(SsangYong/DSI-6)
AKPP_CD4ELA4A_EL4F44E	(Ford/Mazda/CD4E)
AKPP_Chrysler31THA413A404A470A670	(Chrysler/31TH)
AKPP_CVT_K110_114	(Toyota/Aisin/K110)
AKPP_CVT_K310_312	(Toyota/Aisin/K310)
AKPP_DP0AL4DP2DP8	(Peugeot/Citroen/Renault/DP0)
AKPP_DQ200_0AM_0BM	(VW/Audi/DQ200)
AKPP_DQ250_02E	(VW/Audi/DQ250)
AKPP_DQ500_0BH_0BT	(VW/Audi/DQ500)
AKPP_E40D4R100C6	(Ford/Mazda/E40D)
AKPP_F4A_EL4EAT_F	(Hyundai/Mitsubishi/F4A-EL)
AKPP_F4A33W4A33W4A32	(Hyundai/Mitsubishi/F4A33)
AKPP_F4A42_W4A4	(Toyota/Aisin/F4A42)
AKPP_F4A51F5A51A5HF1_A5GF1A5CF1_A5CF2	(Hyundai/Mitsubishi/F4A51)
AKPP_FNR5FS5AEL_5F27E	(Ford/Mazda/FNR5)
AKPP_FW6A_EL	(Ford/Mazda/FW6A-EL)
AKPP_FW6A_ELGW6A_EL	(Ford/Mazda/FW6A-EL)
AKPP_GM3L30TH180	(GM/3L30)
AKPP_GM3T40_TH125C	(GM/3T40)
AKPP_GM4L30EAR25AR35	(GM/4L30E)
AKPP_GM4L40EBMW3_series	(GM/4L40E)
AKPP_GM4L60E4L65E4L70E700R4	(GM/4L60E)
AKPP_GM4L80E_4L85E3L80	(GM/4L80E)
AKPP_GM4T40E4T45E	(GM/4T40E)
AKPP_GM4T80E	(GM/4T80E)
AKPP_GM6L456L45R6L50	(GM/6L45)
AKPP_GM6L806L90	(GM/6L80)
AKPP_GM6T406T30_6T45_6T50	(GM/6T40)
AKPP_GM8L45E8L90E	(GM/8L45E)
AKPP_GMVT20_VT25	(GM/VT20)
AKPP_GS7D36SG	(Getrag/GS7D36SG)
AKPP_JF011E_RE0F10A	(Jatco/JF011E)
AKPP_JF015E_RE0F11A	(Jatco/JF015E)
AKPP_JF016E_RE0F10D	(Jatco/JF016E)
AKPP_JF017E_RE0F10E-H	(Jatco/JF017E)
AKPP_JF018E_RE0F03H	(Jatco/JF018E)
AKPP_JF020E_RE0F12A	(Jatco/JF020E)
